,ISBN,store_name,gender_of_owner,2010_revenue_till_june,2011_revenue_till_june,2012_revenue_till_june,2013_revenue_till_june,2014_revenue_till_june,2015_revenue_till_june,2016_revenue_till_june,2017_revenue_till_june,2018_revenue_till_june,2019_revenue_till_june,2020_revenue_till_june,zip_codes
0,357765302-7,Waters-Wunsch,Female,100819,112509,123944,137538,149566,164316,179411,198312,218097,230448,129431,94621
1,998155268-2,VonRueden-Jenkins,Male,113084,126738,139531,153422,167274,186978,197318,215656,231218,248714,110034,94546
2,515154998-7,"Stanton, Gislason and Deckow",Female,146726,158604,177580,194941,208128,218759,230549,247263,263878,279697,173066,94116
3,997744982-1,Auer-Lind,Female,115260,127096,138848,149751,161231,176138,187878,198611,214950,231737,102909,94970
4,484474585-9,Zulauf and Sons,Female,119924,130434,141699,154061,165971,176935,190425,204749,214778,228993,123748,94558
5,239254785-8,Walker and Sons,Female,155359,171362,183712,198956,216455,234528,251962,268141,284020,295448,178200,94542
6,569256216-2,"Hoppe, Nitzsche and Gottlieb",Male,184185,199704,215423,231475,242519,256432,276374,286858,300231,316321,191308,94005
7,159939503-7,"Stoltenberg, Koelpin and Halvorson",Male,106421,121393,134258,147904,160510,178257,190329,209909,222029,239453,111114,94024
8,656206808-8,Schamberger and Sons,Male,62044,68069,74249,83248,91212,98676,104694,115541,127955,137993,71201,94530
9,853311478-8,Grimes-Carter,Female,148103,161219,177076,196105,206291,219305,236666,249247,263543,277165,133975,94552
10,855634633-2,Homenick-Donnelly,Female,186542,198267,210028,222264,233863,251880,268049,284203,298830,311465,206637,94506
11,314605878-2,"Yundt, Toy and Green",Female,62084,70091,79294,88506,96827,106250,118106,132789,145687,156014,78333,94122
12,458223757-6,Kling-Stokes,Male,167322,185168,198286,217623,232594,250801,262320,279025,293575,311597,199366,94555
13,458676669-7,"Collins, Connelly and McClure",Male,64010,70873,79937,87456,96727,102764,116278,131241,145204,157395,95078,94085
14,053487667-6,Bogan Inc,Female,109561,120435,134988,146219,156616,168009,180793,193313,205044,224148,124130,94710
15,915568689-3,"Hagenes, Monahan and Lebsack",Female,163477,175159,194653,214015,227158,240426,250501,262288,282036,295252,191561,94707
16,200182234-0,"Pouros, Bahringer and Bashirian",Female,98226,106686,118259,130516,143266,155490,172725,188308,208204,223323,97357,94585
17,896374872-3,Harris-Jacobs,Male,121152,134444,147914,160471,176033,186824,202268,220793,231761,251413,116020,94704
18,314007895-1,Murray Group,Female,127307,140359,154007,173534,188479,202609,212714,228104,240870,253382,124449,94103
19,190219561-2,Beahan Inc,Female,164694,178411,192837,202844,217510,229408,248905,263318,275929,290491,152590,94947
20,828977306-4,Murazik-Ratke,Male,196564,210274,223116,237937,255301,266770,286476,301622,316433,329744,228122,94610
21,776063672-5,Herman and Sons,Male,164085,175364,194435,208986,226680,238530,251894,269917,283073,297831,186619,94544
22,760698719-X,"Shanahan, Langworth and Lind",Male,88919,96883,103437,117351,131121,144851,157836,174390,186493,201235,69178,94002
23,620298450-3,Aufderhar Inc,Male,159483,170688,181576,196027,207342,226351,242812,261460,276022,290080,156975,94579
24,726558803-7,"Reichel, Wisoky and Deckow",Female,71379,79704,87743,93341,101813,115201,129953,140981,151745,167131,97498,94945
25,364885580-8,"Schmitt, Mills and Towne",Female,96432,103854,115073,128571,141390,155516,171207,184327,201855,214759,114464,94939
26,694928441-1,Legros LLC,Female,183963,202589,221483,232473,247026,265295,280880,291614,306935,324023,212278,94556
27,449805641-8,"Jacobi, Hammes and Johns",Female,163609,179477,198680,213643,228741,243435,258415,272800,286756,299705,172590,95620
28,389201429-9,Streich-Boyle,Female,131372,145691,156214,175838,189068,204266,220456,240131,250803,261989,121024,94509
29,432938294-6,Volkman and Sons,Male,139197,153962,171994,184462,200511,214289,228275,245836,263719,281299,174083,94404
30,743069895-6,Ankunding-Hand,Male,85327,90532,96471,104588,116984,129635,140598,151649,166844,181798,83864,94603
31,503883643-7,Predovic-Wilderman,Male,133198,146172,157369,170824,181045,197451,216339,228083,247725,264667,149594,94122
32,581532380-2,Haag-Wilkinson,Female,145470,158126,169550,184215,203813,217981,232503,245653,255744,267749,156654,94589
33,756178753-7,Johns and Sons,Male,129079,142030,152637,168283,178326,188891,201027,219300,231997,243615,131872,94590
34,932190796-3,Gleason-Hoppe,Female,183990,196025,212390,227238,244874,255273,270174,281739,294071,305779,163527,94545
35,684887625-9,"Stanton, Homenick and Jones",Female,81806,89693,99117,108569,120603,132253,145752,160385,174306,185822,114042,94806
36,113663665-X,Schoen-Moen,Female,128634,140749,151126,165364,177050,189718,205370,216573,227423,244037,122367,94542
37,364325663-9,Reichel-Towne,Male,140601,151226,162341,178945,196940,207598,226384,244197,264082,276084,153371,94612
38,963578583-6,Kunze-Bradtke,Female,127791,140868,152242,168774,178866,196987,207508,224604,240723,259756,123110,94127
39,210929900-2,"Orn, Boyer and Osinski",Female,189221,204828,216497,228148,241643,259458,275810,292390,305087,320685,209467,94587
40,897344447-6,Nikolaus and Sons,Female,195237,209224,224134,243975,256537,274276,285392,305098,316403,334354,213446,94030
41,770176887-4,Lynch LLC,Female,127662,140358,154848,165038,177659,195122,213647,233261,247840,267436,138177,94933
42,580333832-X,Hagenes and Sons,Female,171887,185882,197430,211119,223996,240331,258547,272845,289001,308316,204366,94116
43,415157885-4,Murphy LLC,Male,174944,188278,208087,219108,234366,252530,270250,290245,301634,315176,199117,95002
44,861559778-2,Parker-Bosco,Male,164008,181466,192550,209091,229010,243074,262967,280912,297649,310824,192570,94602
45,548675550-3,Hintz LLC,Male,163474,179630,193287,211986,224848,237270,256914,276830,293908,304085,198932,94945
46,133398981-4,"Cartwright, Emmerich and Koss",Female,114913,125066,137456,149022,163884,178523,189882,208986,221613,233728,104853,94613
47,373702469-3,Torp-Zemlak,Female,81300,88707,95156,102238,112389,127298,137970,152713,172199,189985,119691,94010
